#Kristallwinkel	Rate bei 25kV
#theta/°	R(25kV)/Imp/s
3.0	67.0
3.1	62.0
3.2	40.0
3.3	34.0
3.4	27.0
3.5	27.0
3.6	21.0
3.7	24.0
3.8	24.0
3.9	17.0
4.0	17.0
4.1	15.0
4.2	16.0
4.3	11.0
4.4	12.0
4.5	8.0
4.6	8.0
4.7	14.0
4.8	11.0
4.9	10.0
5.0	8.0
5.1	5.0
5.2	9.0
5.3	12.0
5.4	10.0
5.5	13.0
5.6	9.0
5.7	11.0
5.8	9.0
5.9	6.0
6.0	11.0
6.1	15.0
6.2	6.0
6.3	6.0
6.4	9.0
6.5	8.0
6.6	9.0
6.7	12.0
6.8	9.0
6.9	10.0
7.0	19.0
7.1	8.0
7.2	20.0
7.3	23.0
7.4	32.0
7.5	32.0
7.6	40.0
7.7	47.0
7.8	47.0
7.9	62.0
8.0	57.0
8.1	56.0
8.2	64.0
8.3	77.0
8.4	70.0
8.5	67.0
8.6	71.0
8.7	76.0
8.8	70.0
8.9	86.0
9.0	84.0
9.1	85.0
9.2	81.0
9.3	86.0
9.4	91.0
9.5	85.0
9.6	95.0
9.7	91.0
9.8	102.0
9.9	111.0
10.0	101.0
10.1	96.0
10.2	116.0
10.3	92.0
10.4	109.0
10.5	108.0
10.6	111.0
10.7	109.0
10.8	118.0
10.9	117.0
11.0	123.0
11.1	118.0
11.2	104.0
11.3	135.0
11.4	112.0
11.5	122.0
11.6	134.0
11.7	120.0
11.8	130.0
11.9	117.0
12.0	142.0
12.1	125.0
12.2	133.0
12.3	130.0
12.4	131.0
12.5	131.0
12.6	126.0
12.7	127.0
12.8	128.0
12.9	131.0
13.0	131.0
13.1	150.0
13.2	141.0
13.3	130.0
13.4	110.0
13.5	105.0
13.6	107.0
13.7	99.0
13.8	100.0
13.9	107.0
14.0	111.0
14.1	104.0
14.2	102.0
14.3	99.0
14.4	96.0
14.5	102.0
14.6	98.0
14.7	100.0
14.8	121.0
14.9	109.0
15.0	112.0
15.1	99.0
15.2	108.0
15.3	103.0
15.4	115.0
15.5	102.0
15.6	115.0
15.7	111.0
15.8	112.0
15.9	111.0
16.0	110.0
16.1	109.0
16.2	106.0
16.3	110.0
16.4	104.0
16.5	99.0
16.6	109.0
16.7	95.0
16.8	118.0
16.9	107.0
17.0	106.0
17.1	98.0
17.2	97.0
17.3	95.0
17.4	107.0
17.5	85.0
17.6	104.0
17.7	108.0
17.8	106.0
17.9	103.0
18.0	101.0
18.1	93.0
18.2	95.0
18.3	105.0
18.4	87.0
18.5	88.0
18.6	91.0
18.7	109.0
18.8	100.0
18.9	99.0
19.0	90.0
19.1	100.0
19.2	104.0
19.3	100.0
19.4	88.0
19.5	98.0
19.6	87.0
19.7	89.0
19.8	90.0
19.9	87.0
20.0	99.0
20.1	98.0
20.2	90.0
20.3	93.0
20.4	91.0
20.5	75.0
20.6	80.0
20.7	84.0
20.8	85.0
20.9	87.0
21.0	80.0
21.1	81.0
21.2	67.0
21.3	67.0
21.4	76.0
21.5	76.0
21.6	65.0
21.7	81.0
21.8	72.0
21.9	66.0
22.0	76.0
22.1	63.0
22.2	60.0
