Kristallwinkel	Rate bei 23kV	Rate bei 26kV	Rate bei 29kV	Rate bei 32kV	Rate bei 35kV
theta/°	R(23kV)/Imp/s	R(26kV)/Imp/s	R(29kV)/Imp/s	R(32kV)/Imp/s	R(35kV)/Imp/s

3.0	25.0	72.0	133.0	224.0	379.0
3.1	32.0	64.0	131.0	217.0	367.0
3.2	31.0	52.0	111.0	197.0	320.0
3.3	25.0	39.0	94.0	170.0	268.0
3.4	22.0	48.0	78.0	156.0	258.0
3.5	19.0	40.0	73.0	122.0	219.0
3.6	17.0	33.0	64.0	133.0	196.0
3.7	19.0	29.0	47.0	100.0	167.0
3.8	9.0	33.0	48.0	84.0	145.0
3.9	13.0	23.0	50.0	75.0	111.0
4.0	10.0	22.0	37.0	64.0	105.0
4.1	10.0	17.0	31.0	55.0	89.0
4.2	7.0	15.0	33.0	49.0	75.0
4.3	6.0	13.0	20.0	36.0	62.0
4.4	14.0	13.0	20.0	44.0	57.0
4.5	9.0	12.0	17.0	28.0	60.0
4.6	8.0	10.0	17.0	28.0	48.0
4.7	9.0	14.0	15.0	26.0	37.0
4.8	8.0	10.0	17.0	29.0	46.0
4.9	7.0	11.0	17.0	28.0	36.0
5.0	6.0	13.0	16.0	27.0	35.0
5.1	12.0	13.0	17.0	31.0	47.0
5.2	9.0	14.0	16.0	25.0	40.0
5.3	10.0	9.0	21.0	24.0	50.0
5.4	5.0	13.0	18.0	27.0	70.0
5.5	6.0	15.0	25.0	27.0	71.0
5.6	8.0	12.0	18.0	29.0	88.0
5.7	8.0	14.0	19.0	30.0	89.0
5.8	4.0	13.0	16.0	47.0	107.0
5.9	6.0	15.0	24.0	63.0	106.0
6.0	11.0	11.0	14.0	68.0	130.0
6.1	6.0	7.0	20.0	73.0	132.0
6.2	5.0	11.0	26.0	70.0	141.0
6.3	6.0	11.0	38.0	89.0	139.0
6.4	4.0	11.0	41.0	85.0	142.0
6.5	4.0	10.0	56.0	100.0	168.0
6.6	8.0	9.0	65.0	110.0	181.0
6.7	6.0	12.0	67.0	126.0	169.0
6.8	7.0	17.0	71.0	120.0	179.0
6.9	9.0	11.0	71.0	127.0	183.0
7.0	6.0	28.0	83.0	143.0	176.0
7.1	8.0	24.0	97.0	135.0	186.0
7.2	11.0	41.0	79.0	163.0	204.0
7.3	10.0	44.0	105.0	146.0	216.0
7.4	7.0	38.0	99.0	168.0	209.0
7.5	7.0	52.0	110.0	146.0	197.0
7.6	5.0	55.0	114.0	150.0	187.0
7.7	9.0	69.0	103.0	154.0	213.0
7.8	11.0	61.0	105.0	166.0	228.0
7.9	15.0	65.0	120.0	163.0	205.0
8.0	15.0	68.0	107.0	160.0	203.0
8.1	24.0	81.0	114.0	192.0	208.0
8.2	34.0	81.0	132.0	152.0	213.0
8.3	36.0	82.0	126.0	167.0	240.0
8.4	41.0	85.0	131.0	167.0	225.0
8.5	48.0	95.0	134.0	182.0	221.0
8.6	53.0	85.0	118.0	178.0	213.0
8.7	44.0	86.0	143.0	178.0	237.0
8.8	44.0	88.0	131.0	170.0	211.0
8.9	52.0	94.0	127.0	198.0	225.0
9.0	50.0	92.0	143.0	186.0	217.0
9.1	53.0	101.0	142.0	167.0	232.0
9.2	68.0	108.0	164.0	193.0	228.0
9.3	57.0	100.0	150.0	193.0	238.0
9.4	70.0	101.0	141.0	185.0	223.0
9.5	78.0	100.0	171.0	201.0	248.0
9.6	75.0	104.0	145.0	208.0	253.0
9.7	66.0	111.0	146.0	190.0	244.0
9.8	77.0	107.0	158.0	182.0	249.0
9.9	75.0	109.0	153.0	183.0	213.0
10.0	75.0	120.0	155.0	200.0	241.0
10.1	84.0	120.0	156.0	205.0	242.0
10.2	74.0	117.0	161.0	186.0	241.0
10.3	72.0	125.0	152.0	175.0	257.0
10.4	89.0	118.0	161.0	204.0	229.0
10.5	94.0	137.0	160.0	204.0	246.0
10.6	90.0	118.0	147.0	204.0	224.0
10.7	93.0	128.0	164.0	183.0	254.0
10.8	90.0	121.0	161.0	184.0	261.0
10.9	101.0	135.0	156.0	191.0	233.0
11.0	96.0	121.0	166.0	209.0	265.0
11.1	85.0	125.0	170.0	208.0	261.0
11.2	105.0	124.0	164.0	211.0	251.0
11.3	107.0	130.0	181.0	217.0	262.0
11.4	96.0	128.0	172.0	201.0	257.0
11.5	103.0	136.0	171.0	211.0	241.0
11.6	108.0	128.0	151.0	204.0	245.0
