Kristallwinkel	Rate bei 23kV	Rate bei 26kV	Rate bei 29kV	Rate bei 32kV	Rate bei 35kV
theta/°	R(23kV)/Imp/s	R(26kV)/Imp/s	R(29kV)/Imp/s	R(32kV)/Imp/s	R(35kV)/Imp/s

24.0	38.0	56.0	50.0	57.0	66.0
24.1	43.0	59.0	60.0	63.0	88.0
24.2	36.0	53.0	57.0	68.0	71.0
24.3	44.0	54.0	53.0	66.0	74.0
24.4	36.0	39.0	59.0	83.0	82.0
24.5	43.0	65.0	54.0	75.0	88.0
24.6	36.0	54.0	53.0	61.0	67.0
24.7	34.0	45.0	60.0	56.0	71.0
24.8	28.0	50.0	59.0	56.0	60.0
24.9	30.0	44.0	51.0	64.0	72.0
25.0	37.0	42.0	57.0	57.0	67.0
25.1	35.0	39.0	50.0	54.0	65.0
25.2	38.0	50.0	55.0	51.0	72.0
25.3	34.0	43.0	45.0	58.0	62.0
25.4	35.0	40.0	45.0	63.0	65.0
25.5	41.0	47.0	46.0	58.0	74.0
25.6	39.0	53.0	69.0	76.0	80.0
25.7	75.0	78.0	116.0	109.0	119.0
25.8	139.0	163.0	195.0	229.0	277.0
25.9	439.0	546.0	641.0	733.0	866.0
26.0	1066.0	1285.0	1489.0	1846.0	2114.0
26.1	758.0	954.0	1183.0	1439.0	1658.0
26.2	164.0	204.0	260.0	306.0	355.0
26.3	80.0	108.0	133.0	148.0	196.0
26.4	70.0	79.0	106.0	109.0	152.0
26.5	62.0	70.0	89.0	99.0	124.0
26.6	55.0	60.0	74.0	95.0	109.0
26.7	52.0	59.0	78.0	91.0	94.0
26.8	42.0	58.0	70.0	75.0	92.0
26.9	46.0	50.0	66.0	75.0	92.0
27.0	46.0	45.0	67.0	81.0	82.0
27.1	41.0	47.0	53.0	71.0	82.0
27.2	35.0	48.0	60.0	63.0	97.0
27.3	35.0	50.0	58.0	56.0	84.0
27.4	33.0	0.0	54.0	58.0	68.0
27.5	41.0	50.0	52.0	62.0	73.0
27.6	31.0	45.0	46.0	72.0	64.0
27.7	37.0	44.0	51.0	62.0	79.0
27.8	33.0	48.0	58.0	50.0	64.0
27.9	35.0	43.0	45.0	53.0	75.0
28.0	27.0	45.0	47.0	51.0	71.0
28.1	36.0	41.0	41.0	58.0	66.0
28.2	38.0	50.0	51.0	66.0	79.0
28.3	48.0	46.0	63.0	66.0	81.0
28.4	50.0	59.0	78.0	72.0	100.0
28.5	70.0	73.0	89.0	114.0	124.0
28.6	94.0	131.0	165.0	197.0	249.0
28.7	268.0	358.0	459.0	540.0	577.0
28.8	1895.0	2445.0	2894.0	3249.0	3640.0
28.9	3151.0	3949.0	4648.0	5390.0	5890.0
29.0	1935.0	2392.0	2837.0	3386.0	3797.0
29.1	490.0	601.0	765.0	910.0	1040.0
29.2	96.0	153.0	192.0	221.0	252.0
29.3	63.0	87.0	101.0	118.0	138.0
29.4	50.0	44.0	60.0	71.0	91.0
29.5	38.0	36.0	52.0	59.0	63.0
29.6	26.0	32.0	41.0	52.0	63.0
29.7	35.0	37.0	33.0	54.0	65.0
29.8	23.0	27.0	35.0	43.0	56.0
29.9	26.0	24.0	38.0	46.0	49.0
30.0	23.0	26.0	38.0	48.0	44.0
30.1	22.0	28.0	36.0	32.0	43.0
30.2	16.0	29.0	32.0	39.0	46.0
30.3	21.0	26.0	36.0	33.0	41.0
30.4	20.0	28.0	39.0	33.0	43.0
30.5	20.0	24.0	27.0	29.0	45.0
30.6	21.0	29.0	33.0	32.0	45.0
30.7	19.0	21.0	34.0	36.0	42.0
30.8	16.0	24.0	29.0	34.0	33.0
30.9	16.0	22.0	29.0	30.0	36.0
31.0	17.0	21.0	24.0	35.0	44.0
